ulasan,score,sentiment
calls banyak salahnya,1,Negatif
ini aplikasi utk yg sudah jadi member bukan utk umum,5,Negatif
scam,1,Negatif
mau2 nya dikibulin bocah tengil sitimoty ronal wkwkwkwkwk,1,Negatif
ac komunitas paling sampah pump dump aja kerjaannya call call sampah mudahan lu kena karma ajg,1,Negatif
apk buat tipu2 doang hati2 saja,1,Negatif
larang,1,Negatif
aplikasi golbok,1,Negatif
tidak bisa masuk ke aplikasi sampah ini,1,Negatif
tolong ditingkatkan lagi quality nya kelas 17 juta masa cuma gitu appnya tambahin search pojok trade diskusi member juga dibuka dong tambah juga dari insight market yang lain sudah ada bloomberg terminal terus live member juga tingkatin testimoni member harusnya dari member sendiri bukan di wawancara mana jani live daily nya juga private margin call alpha disemua market kalian bohongi kami,2,Negatif
aplikasi gak jelas bikin rungkd aja,1,Negatif
jangan percaya sama aplikasi ini kalau kalian ingin terjun ke crypto cari tau dasar dasarnya jangan langsung all in,1,Negatif
jangan dibeli jngn percaya bnyk yg lebih hebat dr org ini asal kalian tau,1,Negatif
ahh bintang berbicara minus,1,Negatif
aplikasi ga jelas,1,Negatif
sampah,1,Negatif
biarkan bintang yg berbicara,1,Negatif
yg katanya pnya terminal bloomberg tp kasih info sering telat kasih insight pun ambigu call jg jarang sekali sekarang klo bayar 20 jt cuman info a1 kaya koran gini mending di surfing di x bnyk info up to date dan free,1,Negatif
gua dulu hampir join ac tapi temen gua yg udh join di ac nyaranin gua untuk jangan wkwk puji tuhan gua di selamatkan dari scam,1,Negatif
legit scam,1,Negatif
yg bintang 1 gk tau cara main global market gk punya pengalaman lgsg all in itu adalah cara yg salah terimalah pengalaman pahitmu dan bangkitlah sy jg punya pengalaman rugi pas awal kenal kripto namun sy evaluasi sendiri gk nyalah2in orang tp ya gk membenarkan jg ngajak2 beli koin yg gk jelas yg pasti aman hanya bitcoin kalo mau punya skill trading butuh keberanian mental yg tangguh bukan mental bintang 1 belajarlah cara membaca candle s r teknikal news macro micro sekian,3,Negatif
aplikasi sampah,1,Negatif
simpel aja ga guna,1,Negatif
becareful aja temen temen yg mau masuk mending gausah masuk seriusan,1,Negatif
damn,1,Negatif
mending twitter dari pada aplikasi ini,1,Negatif
guyss yg kasih b5 itu buzzer bayarak 1k doang,1,Negatif
bosok minta login mulu maklum yg bikin pengguna wordpress yg pinginya serba instan,1,Negatif
marketingnya tidak sopan,1,Negatif
nyesal ikut udah sepi gk ada signal lagi katanya maintenance tapi udah beberapa bulan tetap gk ada servernya di discord,1,Negatif
scammmmm,1,Negatif
aplikasi tolol,1,Negatif
lu baca dan resapi bro inget dulu zaman indra sma sulai nah intinya sama arahnya mau ke mana jadi please enggk ada caranya orang cepet kaya isinya sama kayak yang lu baca gratis di internet,1,Negatif
apk sampah,1,Negatif
isi gak jelas haduh rugi deh ikut2 ginian mending udah oaling bener kerja aja drpada ikut beginian,1,Negatif
kalian gausah beli kelas sampah ini pake aja cryptowave uang yang kalian pakai buat beli kelas sampah ini bisa kalian gunakan untuk membantu orang lain yang membutuhkan kalian akan dapat pahala,1,Negatif
susah login nya udah bener gmail nya sama pasword nya masi aja gabisa,1,Negatif
penipuan berkedok akademi banyak member yang bayar tapi dikasih call coin sampah konsul 1 on 1 gaada walau sudah dijanjikan,1,Negatif
aplikasi scam jir banyak yg rugi,1,Negatif
aplikasi penipuan udah banyak memakan korban,1,Negatif
bro tim suruh tobat gwe member ac rugi ratusan juta paling muak pas dia ngomong siapa member yang rugi ngga ada perasaan rugi semua dah cek alt yg di call wildcard mu tahun kemarin rungkad semua coba lah jangan seolah olah lu paling hebat bro kalah ngaku kalah sekarang 2 arah terus selalu dyor masuk group belasan juta cuma baca bloomber doang tiap hari chat gpt pun bisa kalau begitu,1,Negatif
aplikasi gak guna,1,Negatif
tidak josjis,1,Negatif
aplikasi sampah gabisa jalan stuck log in,1,Negatif
ga bisa login mungkin perlu ditambahkan menu daftar dulu,1,Negatif
kirain orangnya udah keliatan sombong dan pd punya otak yang terjamin kelas 17 jt tapi isinya kaya bualan anak tiktok fomo mending info lowongan buzzer dong kalo mau,1,Negatif
buruk sekali,1,Negatif
kelas gini kok mahal gua berani taruhan banyak dari membernya yg rugi daripada untung nya,1,Negatif
saya rugi ikut kelas ini yang rugi ga dibolehkan speak up di discord ga ada yang bisa bicara di discord semua dibungkam jangan hanya lihatkan testimoni dari yang baik baik yang rugi itu perhatikan juga,1,Negatif
aplikasi sampah kumpulan video2 lama yang gak update lebih cepat dapat info dari x daripada aplikasi ini yang belum john pleasebjangan john daripada uanglu ilang puluhan juta,1,Negatif
aplikasi sampah yg gak layak,1,Negatif
scammmmmmn,1,Negatif
kalo ga mau beli mending jangan komen,5,Negatif
17jt cuma buat aplikasi begini yg bener aja lu ndro scroll sedikit di twitter banyak info a1 yg bisa buat lu kaya please jangan mau dibodohi,1,Negatif
banyak call2 yg salah dan analisanya tidak on point salah satu penyesalan terbesar gw join ac,1,Negatif
hrg member yg sangat mahal tidak sebanding dgn yg diberikan tidak ada forum bertanya tidak ada sesi live utk member mayoritas hny berita umum crypto founder tidak ada komitmen utk member bnyk analisis internal altcoin yg meleset dan tidak sesuai,1,Negatif
big no gak gunaaaa,1,Negatif
kenapa gk bisa login yah kan belum daftar dan punya akun dan menunya cuma login gimana cara loginnya,1,Negatif
kelas sampah,1,Negatif
kenapa nggak bisa login bang,1,Negatif
kenapa gabisa login daftar pdhl gw udh masukin gmail yg bner 🥀sybau,1,Negatif
aplikasi apaan sandi tetap salah dan sudah ganti sandi tetap juga salah apa maksudnya ni,2,Negatif
mana call koin jp mu itu yang di idam2 kan mana live class 2x seminggu nya,1,Negatif
tidak ada fasilitas daftar hanya login saja,1,Negatif
kok gak bisa di login kan padahal buat akun aja katanya maaf email atau sandi salah gitu mulu padahal gak pernah lah daftar,1,Negatif
gw gak bisa login,1,Negatif
kalo nipu pinter banget 1 info lambat 2 info forward dari platform lain 3 minim sinyal bisa sebulan sekali bisa 3 bulan sekali 4 gak ada ruang diskusi 5 eh malah pindah cari member ke ternak uang,1,Negatif
padahal mau belajar nyobain aplikasi ini tapi ketika mau login email sama sandi selalu salah padahal udah bner bner aneh daripada ribet mending gw hapus lagi ni aplikasi,1,Negatif
ini cara daftar nya gmna ya ko cuma ada tulisan login doang gbisa daftar🙏,4,Negatif
nggk ngerti cara daftar udah cari gi web juga nggk ada,1,Negatif
sampah gakbisa login,1,Negatif
gak bisa login,1,Negatif
mau daftar kok nggak bisa yaaa,1,Negatif
tidak memuaskan banyak kebohongan dan janji manis,1,Negatif
mau buka aplikasinya langsung ke menu login gimana caranya kalau aku baru pertama kali instal mana menu daftar nya ga ada,1,Negatif
rungkad,1,Negatif
saya harus kasih bintang 5 biar lewat di kalian semoga saya saranin jangan join kelas ini pure scam penipuan berita telat call gagal terus winrate dibawah 55 katanya 90 masih banyak keluhan lain saya harap tidak ada korban lagi,5,Negatif
yang ngasih bintang satu pada lucu lucu komenannya ini aplikasi bukan buat kalian xd,5,Negatif
baru donlot eh bingung gimna cara daftar nya cuma ada tampilan login,5,Negatif
gak bisa login gmail,1,Negatif
ini kenapa ya gak bisa login padahal email dan password ya padahal bener deh,2,Negatif
uda bener masuk in email sandi nya mala di bilng salah,1,Negatif
kok gw gk bisa login sih padahal email sama pw nya udah bener tapi tetep gk bisa login,2,Negatif
kualitas downgrade,1,Negatif
katanya ngga butuh duit tapi kok masih berbayar 0 0,1,Negatif
saya baru belum bisa masuk om tolong bimbing cara ya masuk di akademi crypto tidak ada daftar masuk yang ada login please bimbing saya,5,Negatif
overclaim parah sih janji tak semanis actual nya parah memang apalagi yang udah tau salah tapi tetep nge fans buta dan kaya idiot gitu😆,1,Negatif
eleh kata nya akademi tapi kok di bungkam,1,Negatif
malah d suruh login sdangkan gua belum daftar akun apk macam 💩,1,Negatif
aplikasi hanya berpihak kepada timotyi ronald😎,5,Negatif
kenapa gak bisa login hadee ud bayar kelas mahal2 gak bisa masuk jg,2,Negatif
gak jelas banget ini apk dimana mana dftr dl baru login tamu di undang pintu gak di buka,1,Negatif
tombol pendaftaran tidak tersedia jadi gak bisa login,1,Negatif
kok ngk bisa,1,Negatif
