ulasan,score,sentiment
sangat bagus dan berkualitas,5,Positif
bagusan pakai x katanya aplikasi sekelas bloombregh britanya serjng telat,1,Positif
aela buntung,1,Positif
aplikasi ini sangat membantu saya untuk mendapatkan informasi meskipun ada sedikit kendala,5,Positif
kalo kalian pengen kaya dengan crypto jangan pakai aplikasi exchange lokal pajak nya besar kalo mau pake exchange luar aja kek tradingview binance dll,1,Positif
terbaik ac modulnya super lengkap heran sama orang yg gabung ac cuman ngincer call doang padahal modulnya sangat lengkap dan mudah dipahami gw yg dari nol belajar crypto setelah 1 minggu di ac udah bisa meraba raba market bahkan winrate trading gw hasil analisa pribadi masih 100,5,Positif
bagus keseimbangan harus dijaga antara bintang 5 dan bintang 1 😁,1,Positif
istimewa simpel seamless terupdate,5,Positif
mantap,1,Positif
mantab,5,Positif
sangat mudah digunakan,5,Positif
mantap rekomendasi 💯,5,Positif
membantu,5,Positif
👏,5,Positif
terimakasih ilmunya,5,Positif
mantap walau pun aku belum men daftar akedemi crypto tapi aku yakin suatu hari aku akan menjadi salah satu member akedemi crypto 👍,5,Positif
aplikasinya sangat bagus,5,Positif
bro kaka bro tim team ac tambah sukses damai sejahtera sehat sekeluarga amin,5,Positif
bagus dgn maksud ngejek,5,Positif
ini si apk membantu banget,5,Positif
download sekarang juga guysss,5,Positif
mau coba,5,Positif
ac teruslah berkarya edukasi demi generasi merah putih 👍👍,5,Positif
ini ada yg bisa bantu cara daftarnya,5,Positif
peluang yg sangat bagus bagi pemuda tapi sayang belum bisa login secara gratis,5,Positif
terima kasih sudah membuat trading menjadi lebih mudah,5,Positif
sangat membantu mengubah financial freedom,5,Positif
very good,5,Positif
good app,5,Positif
nice,5,Positif
cara mendaftarnya bagaimana kakak ya,4,Positif
mantap daging semua,5,Positif
luar biasa,5,Positif
good dah,5,Positif
bagus,5,Positif
baguss worth,5,Positif
aplikasi ini sangat membantu saya dalam tranding crypto,5,Positif
sangan membantu bagi kita wang awam pemula di duniya crypto,5,Positif
semangat,5,Positif
gratis in kek,5,Positif
keren,5,Positif
trimaksih,5,Positif
apelelikasi ini sangat cocok untuk pemula crypto👍,5,Positif
mantep,4,Positif
sangat bagus,5,Positif
🔥,5,Positif
kenapa modulnya bolong beberapa contohnya saya bukak exel modeling 101 yg tersedia cuma 4 lesson top down analysis yg tertulis tersedia 8 lesson tapi yg tersedia 4 apakah bug my bad guys ternyata ada garis 3 saat nonton modul itu klik dan akan muncul semua videonya nice akademi crypto lope u❤,5,Positif
👍,5,Positif
akademi kripto mantap,5,Positif
semoga bisa seperti mu ketua🔥,5,Positif
recommended,5,Positif
informasi crypto terbaik,5,Positif
mentor panutan kuh sejak di saham hingga saat inih😍🥰😇,5,Positif
membantu sangat,5,Positif
apk ini sangat baik dan penting saya senang mengenal apk ini😁,5,Positif
topp markotop pokonamahh,4,Positif
aplikasinya keren ngebantu buat liat brita harian,5,Positif
apk edukasi crypto terbaik paling lengkap,5,Positif
speechless keren bgt apk nya 💯,5,Positif
amazing platform,5,Positif
sangat membantu dan bermanfaat sukses selalu✨,5,Positif
aplikasi yang bagus dan mudah dimengerti untuk uang yang baru mau belajar tentang crypto good job,5,Positif
terbaik,5,Positif
